title_en,year,rating,genre,synopsis
The Kid,1921,8.2,Buddy Comedy,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
Sherlock Jr.,1924,8.2,Bumbling Detective,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
The Gold Rush,1925,8.1,Farce,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
The General,1926,8.1,Farce,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
Metropolis,1927,8.3,Dystopian Sci-Fi,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
The Passion of Joan of Arc,1928,8.1,Legal Drama,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
City Lights,1931,8.5,Feel-Good Romance,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
M,1931,8.3,Psychological Thriller,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
It Happened One Night,1934,8.1,Road Trip,A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops along the way.
Modern Times,1936,8.5,Slapstick,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
Gone with the Wind,1939,8.2,Epic,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
The Wizard of Oz,1939,8.1,Classic Musical,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
Mr. Smith Goes to Washington,1939,8.1,Political Drama,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
Rebecca,1940,8.1,Dark Romance,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
The Great Dictator,1940,8.4,Parody,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
The Grapes of Wrath,1940,8.1,Drama,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
Citizen Kane,1941,8.3,Epic,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
Casablanca,1942,8.5,Drama,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
To Be or Not to Be,1942,8.1,Screwball Comedy,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
Double Indemnity,1944,8.3,Film Noir,"A Los Angeles insurance representative is seduced by an alluring housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator."
The Best Years of Our Lives,1946,8.1,Epic,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
It's a Wonderful Life,1946,8.6,Feel-Good Romance,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
The Treasure of the Sierra Madre,1948,8.2,Tragedy,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
Bicycle Thieves,1948,8.3,Tragedy,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
The Third Man,1949,8.1,Film Noir,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
Rashomon,1950,8.2,Crime,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
All About Eve,1950,8.2,Showbiz Drama,Seemingly timid but secretly ruthless ingenue Eve Harrington insinuates herself into the lives of aging Broadway star Margo Channing and her circle of theater friends in this Oscar-winning story.
Sunset Boulevard,1950,8.4,Film Noir,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
Singin' in the Rain,1952,8.3,Classic Musical,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
Ikiru,1952,8.3,Psychological Drama,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
Tokyo Story,1953,8.1,Psychological Drama,"An old couple visit their children and grandchildren in the city, but receive little attention."
The Wages of Fear,1953,8.1,Psychological Drama,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
Rear Window,1954,8.5,Suspense Mystery,"A house and wheelchair-bound photographer, his fashion model girlfriend and his visiting Nurse spy on neighbors from his courtyard window. Despite skepticism by his PD Detective friend, they're convinced one of his neighbors is a murderer."
Dial M for Murder,1954,8.2,Crime,A former tennis star arranges the murder of his adulterous wife.
Seven Samurai,1954,8.6,Action Epic,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
On the Waterfront,1954,8.1,Crime,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
Witness for the Prosecution,1957,8.4,Legal Drama,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
The Bridge on the River Kwai,1957,8.1,Jungle Adventure,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
Wild Strawberries,1957,8.1,Psychological Drama,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
12 Angry Men,1957,9.0,Legal Drama,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
The Seventh Seal,1957,8.1,Psychological Drama,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
Paths of Glory,1957,8.4,Drama,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.
Vertigo,1958,8.3,Psychological Thriller,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
Some Like It Hot,1959,8.2,Buddy Comedy,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
Ben-Hur,1959,8.1,Adventure Epic,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge."
North by Northwest,1959,8.3,Spy,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
The Apartment,1960,8.3,Holiday Comedy,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters."
Psycho,1960,8.5,Psychological Horror,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.
Yojimbo,1961,8.2,One-Person Army Action,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
Judgment at Nuremberg,1961,8.3,Drama,"Fictionalized depiction of the 1947 Judges' Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions."
Lawrence of Arabia,1962,8.3,Adventure Epic,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
To Kill a Mockingbird,1962,8.3,Legal Drama,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice."
Harakiri,1962,8.6,Period Drama,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
High and Low,1963,8.4,Police Procedural,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
The Great Escape,1963,8.2,Period Drama,Allied prisoners of war plan for several hundred of their men to escape from a German camp during World War II.
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,Dark Comedy,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
For a Few Dollars More,1965,8.2,One-Person Army Action,Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.
The Sound of Music,1965,8.1,Classic Musical,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
The Battle of Algiers,1966,8.1,Docudrama,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
"The Good, the Bad and the Ugly",1966,8.8,Desert Adventure,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
Cool Hand Luke,1967,8.1,Prison Drama,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform."
Once Upon a Time in the West,1968,8.5,Desert Adventure,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
